keyword       ,clientTimeList ,serverTime ,totalTime ,resultLength ,counter
F58052#F1579  ,           183 ,    909367 ,   909553 ,           4 ,      3
F40765#F19084 ,           548 ,    797808 ,   798358 ,           7 ,     11
F62581#F31554 ,            53 ,    925073 ,   925128 ,           0 ,      0
F62571#F62913 ,            55 ,    867795 ,   867853 ,           0 ,      0
F711#F42708   ,           684 ,    840297 ,   840983 ,          14 ,     14
F27100#F55589 ,            55 ,    833724 ,   833781 ,           0 ,      0
F60366#F51295 ,            54 ,    828375 ,   828432 ,           1 ,      0
F22757#F2100  ,          1444 ,    906276 ,   907722 ,          26 ,     31
F30998#F48053 ,           269 ,    843107 ,   843378 ,           3 ,      5
F15726#F9675  ,          1080 ,    926894 ,   927976 ,          14 ,     23
F54383#F54612 ,           100 ,    900931 ,   901032 ,           0 ,      1
F61143#F46492 ,           141 ,    797995 ,   798139 ,           0 ,      2
F12872#F7295  ,          1034 ,    794966 ,   796002 ,          18 ,     23
F51737#F41293 ,           135 ,    788014 ,   788151 ,           0 ,      2
F10537#F57251 ,            93 ,    874876 ,   874971 ,           1 ,      1
F28161#F31599 ,           368 ,    836261 ,   836631 ,           1 ,      7
F51845#F37815 ,            99 ,    895130 ,   895231 ,           0 ,      1
F5457#F37649  ,           908 ,    935483 ,   936393 ,          12 ,     18
F17475#F4147  ,          1785 ,    843880 ,   845667 ,          27 ,     39
F55782#F47126 ,           187 ,    833295 ,   833485 ,           3 ,      3
F11246#F25643 ,           914 ,    836571 ,   837487 ,          19 ,     19
F60708#F5533  ,           101 ,    904653 ,   904757 ,           2 ,      1
F47223#F24252 ,           390 ,    824733 ,   825126 ,           3 ,      4
F7193#F62886  ,            53 ,    834974 ,   835029 ,           1 ,      0
F28280#F10212 ,           803 ,    931262 ,   932067 ,          12 ,     17
F63020#F16876 ,            52 ,    820321 ,   820374 ,           1 ,      0
F9471#F27801  ,            54 ,    797492 ,   797548 ,           1 ,      0
F21617#F43450 ,           738 ,    794806 ,   795546 ,          12 ,     16
F9326#F17757  ,          1665 ,    793606 ,   795273 ,          29 ,     38
F60661#F3026  ,            52 ,    900773 ,   900826 ,           1 ,      0
F27892#F5777  ,           830 ,    845214 ,   846047 ,          15 ,     17
F6385#F21954  ,           501 ,    976995 ,   977497 ,           5 ,     10
F18160#F13802 ,          1085 ,    850215 ,   851303 ,          11 ,     23
F27350#F4204  ,           190 ,    836547 ,   836740 ,           4 ,      3
F13303#F24313 ,           554 ,    796371 ,   796927 ,          12 ,     11
F60863#F45421 ,            53 ,    791229 ,   791285 ,           1 ,      0
F62500#F28045 ,            53 ,    886873 ,   886928 ,           0 ,      0
F44119#F49658 ,           181 ,    799537 ,   799720 ,           4 ,      3
F2805#F48616  ,            52 ,    933141 ,   933196 ,           0 ,      0
F24628#F55094 ,           399 ,    817174 ,   817575 ,           5 ,      8
F55659#F4612  ,           310 ,    802278 ,   802589 ,           5 ,      6
F26362#F40509 ,           181 ,    794887 ,   795070 ,           2 ,      3
F16180#F6797  ,          1072 ,    792689 ,   793763 ,          19 ,     24
F15918#F45357 ,           514 ,    893031 ,   893547 ,           3 ,     11
F27623#F34203 ,           267 ,    798723 ,   798992 ,           6 ,      5
F50682#F30191 ,           266 ,    926269 ,   926537 ,           1 ,      5
F52401#F15236 ,            52 ,    827719 ,   827773 ,           1 ,      0
F43749#F29981 ,           276 ,    804862 ,   805140 ,           2 ,      5
F61512#F44747 ,            53 ,    798312 ,   798368 ,           1 ,      0
F3091#F3721   ,          2150 ,    796544 ,   798696 ,          43 ,     49
F58278#F28598 ,            50 ,    892459 ,   892511 ,           0 ,      0
F2565#F20254  ,           981 ,    811220 ,   812203 ,           9 ,     21
F58721#F38587 ,           136 ,    909441 ,   909579 ,           2 ,      2
F2997#F16861  ,          1405 ,    844687 ,   846095 ,          15 ,     31
F30399#F39644 ,           632 ,    805920 ,   806555 ,           7 ,     13
F28978#F57938 ,            95 ,    799458 ,   799556 ,           2 ,      1
F18992#F36401 ,          1240 ,    796661 ,   797903 ,          17 ,     28
F28472#F23513 ,           436 ,    885455 ,   885894 ,           5 ,      9
F29716#F14577 ,          1254 ,    799323 ,   800579 ,          13 ,     28
F9263#F20572  ,           691 ,    872221 ,   872915 ,          13 ,     15
